recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
F-0276-2017,Terminated,Class II,FL,United States,Pharmatech LLC,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,Voluntary: Firm initiated,20160808,20161102,20240923
F-0865-2017,Terminated,Class II,CA,United States,Magic Gourmet Trading Inc,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat, peanut oil.",Voluntary: Firm initiated,20160831,20170118,20170111
F-0609-2015,Terminated,Class I,FL,United States,"Oasis Brands, Inc",Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",Voluntary: Firm initiated,20141010,20141210,20170328
F-1922-2012,Terminated,Class I,FL,United States,FreshPoint South Florida,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.","FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",Voluntary: Firm initiated,20120727,20120815,20141008
F-0904-2020,Terminated,Class III,CA,United States,"Organic By Nature, Inc.","Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,Voluntary: Firm initiated,20200224,20200401,20210202
F-1578-2018,Terminated,Class III,WA,United States,Yukon Jackson,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,Voluntary: Firm initiated,20180525,20180620,20180625
F-0921-2020,Terminated,Class III,NY,United States,Rong Shing Trading NY Inc,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)","Product contains dried peaches, but front labeling of product stated dried plums",Voluntary: Firm initiated,20200401,20200506,20210318
F-2326-2017,Terminated,Class II,OH,United States,Trophy Nut Co Inc,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",The firm stated that the product contains undeclared allergens.,Voluntary: Firm initiated,20170505,20170614,20180213
F-0777-2015,Terminated,Class I,MD,United States,"Del Monte Fresh Produce NA, Inc","Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",Possible contamination with Listeria monocytogenes.,Voluntary: Firm initiated,20141209,20150121,20150428
F-0757-2022,Terminated,Class I,CA,United States,Dole Fresh Vegetables Inc,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,Voluntary: Firm initiated,20220106,20220302,20220322
